articleId,articlePath,articleRole,candidateLessonId,candidateLessonPath,score,sharedConcepts,sharedSkills,contentSimilarity,intentSimilarity,conflictFlag,recommendedDecision,recommendedPlacement,recommendedAnchor,editorialDecision,editorialNotes
"article.resource-math-algebra-expressions-equations-combining-like-terms","/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-difference-quotient-algebra","/subjects/math/calculus/derivatives/difference-quotient-algebra/","4","","","0.158","0.158","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-combining-like-terms","/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","textbook-lesson.limits.calculus-continuity-continuity-concept-quiz","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-concept-quiz/","3","","","0.143","0.143","","MANUAL_REVIEW","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-distributive-property","/subjects/math/algebra/expressions-equations/distributive-property/","method-guide","textbook-lesson.subjects-math-calculus-sequences-and-series-nth-term-divergence-test","/subjects/math/calculus/sequences-and-series/nth-term-divergence-test/","4","","","0.222","0.222","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-distributive-property","/subjects/math/algebra/expressions-equations/distributive-property/","method-guide","textbook-lesson.limits.calculus-limits-squeeze-theorem","/subjects/math/calculus/limits-continuity/unit/limits/squeeze-theorem/","4","","","0.214","0.214","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-distributive-property","/subjects/math/algebra/expressions-equations/distributive-property/","method-guide","textbook-lesson.subjects-math-calculus-sequences-and-series-integral-test","/subjects/math/calculus/sequences-and-series/integral-test/","4","","","0.200","0.200","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-evaluating-expressions-by-substitution","/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","textbook-lesson.limits.calculus-limits-factoring-limits","/subjects/math/calculus/limits-continuity/unit/limits/factoring-limits/","6","","","0.400","0.400","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-evaluating-expressions-by-substitution","/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","textbook-lesson.subjects-math-calculus-integrals-definite-integrals-by-substitution","/subjects/math/calculus/integrals/definite-integrals-by-substitution/","4","","","0.333","0.333","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-evaluating-expressions-by-substitution","/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","textbook-lesson.subjects-math-calculus-integrals-integration-by-parts","/subjects/math/calculus/integrals/integration-by-parts/","4","","","0.273","0.273","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-order-of-operations-with-variables","/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","method-guide","textbook-lesson.limits.calculus-continuity-types-of-discontinuity","/subjects/math/calculus/limits-continuity/unit/continuity/types-of-discontinuity/","4","","","0.214","0.214","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-order-of-operations-with-variables","/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","method-guide","textbook-lesson.limits.calculus-limits-complex-fractions","/subjects/math/calculus/limits-continuity/unit/limits/complex-fractions/","4","","","0.200","0.200","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-order-of-operations-with-variables","/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","method-guide","textbook-lesson.limits.calculus-limits-what-a-limit-means","/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/","4","","","0.200","0.200","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-solving-linear-equations","/subjects/math/algebra/expressions-equations/solving-linear-equations/","decision-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-advanced-implicit-function-theorem","/subjects/math/calculus/derivatives/advanced-implicit-function-theorem/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-solving-linear-equations","/subjects/math/algebra/expressions-equations/solving-linear-equations/","decision-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-advanced-chain-rule-linear-maps","/subjects/math/calculus/derivatives/advanced-chain-rule-linear-maps/","4","","","0.238","0.238","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-solving-linear-equations","/subjects/math/algebra/expressions-equations/solving-linear-equations/","decision-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-chain-rule-map","/subjects/math/calculus/derivatives/chain-rule-map/","4","","","0.238","0.238","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-variables-on-both-sides","/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","textbook-lesson.limits.calculus-limits-limit-laws","/subjects/math/calculus/limits-continuity/unit/limits/limit-laws/","4","","","0.211","0.211","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-variables-on-both-sides","/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","textbook-lesson.subjects-math-calculus-integrals-common-errors","/subjects/math/calculus/integrals/common-errors/","4","","","0.190","0.190","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-variables-on-both-sides","/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-unit-2a-common-errors","/subjects/math/calculus/derivatives/unit-2a-common-errors/","4","","","0.182","0.182","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-linear-relationships","/subjects/math/algebra/linear-relationships/","quick-answer","textbook-lesson.limits.calculus-limits-epsilon-delta-linear","/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-linear/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-linear-relationships","/subjects/math/algebra/linear-relationships/","quick-answer","textbook-lesson.subjects-math-calculus-power-series-and-taylor-series-algebra-with-power-series","/subjects/math/calculus/power-series-and-taylor-series/algebra-with-power-series/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-linear-relationships","/subjects/math/algebra/linear-relationships/","quick-answer","textbook-lesson.limits.calculus-continuity-continuity-concept-quiz","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-concept-quiz/","4","","","0.222","0.222","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-equation-from-two-points","/subjects/math/algebra/linear-relationships/equation-from-two-points/","decision-guide","textbook-lesson.limits.calculus-limits-read-limits-from-graphs","/subjects/math/calculus/limits-continuity/unit/limits/read-limits-from-graphs/","6","","","0.400","0.400","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-equation-from-two-points","/subjects/math/algebra/linear-relationships/equation-from-two-points/","decision-guide","textbook-lesson.limits.calculus-continuity-repair-removable-discontinuity","/subjects/math/calculus/limits-continuity/unit/continuity/repair-removable-discontinuity/","4","","","0.333","0.333","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-equation-from-two-points","/subjects/math/algebra/linear-relationships/equation-from-two-points/","decision-guide","textbook-lesson.limits.calculus-limits-disprove-limit-epsilon-delta","/subjects/math/calculus/limits-continuity/unit/limits/disprove-limit-epsilon-delta/","4","","","0.333","0.333","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-graphing-linear-equations-from-standard-form","/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","decision-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-implicit-second-derivative","/subjects/math/calculus/derivatives/implicit-second-derivative/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-graphing-linear-equations-from-standard-form","/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","decision-guide","textbook-lesson.limits.calculus-limits-epsilon-delta-graph","/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-graph/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-graphing-linear-equations-from-standard-form","/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","decision-guide","textbook-lesson.limits.calculus-limits-read-limits-from-graphs","/subjects/math/calculus/limits-continuity/unit/limits/read-limits-from-graphs/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-interpreting-linear-models","/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","textbook-lesson.limits.calculus-limits-zero-over-zero","/subjects/math/calculus/limits-continuity/unit/limits/zero-over-zero/","4","","","0.278","0.278","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-interpreting-linear-models","/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-what-does-derivative-mean","/subjects/math/calculus/derivatives/what-does-derivative-mean/","4","","","0.238","0.238","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-interpreting-linear-models","/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","textbook-lesson.limits.calculus-limits-what-a-limit-means","/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/","4","","","0.235","0.235","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-parallel-perpendicular-lines","/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","decision-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-tangent-line-equation","/subjects/math/calculus/derivatives/tangent-line-equation/","4","","","0.235","0.235","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-parallel-perpendicular-lines","/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","decision-guide","textbook-lesson.subjects-math-calculus-sequences-and-series-harmonic-and-p-series","/subjects/math/calculus/sequences-and-series/harmonic-and-p-series/","4","","","0.235","0.235","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-parallel-perpendicular-lines","/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","decision-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-chain-exp-log","/subjects/math/calculus/derivatives/chain-exp-log/","4","","","0.222","0.222","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-point-slope-vs-slope-intercept","/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","quick-answer","textbook-lesson.limits.calculus-continuity-continuity-at-a-point","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/","4","","","0.200","0.200","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-point-slope-vs-slope-intercept","/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","quick-answer","textbook-lesson.limits.calculus-continuity-continuous-functions","/subjects/math/calculus/limits-continuity/unit/continuity/continuous-functions/","4","","","0.188","0.188","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-point-slope-vs-slope-intercept","/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","quick-answer","textbook-lesson.limits.calculus-limits-function-value-vs-limit","/subjects/math/calculus/limits-continuity/unit/limits/function-value-vs-limit/","4","","","0.188","0.188","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-slope-as-rate-of-change","/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","quick-answer","textbook-lesson.subjects-math-calculus-integrals-rates-to-total-change","/subjects/math/calculus/integrals/rates-to-total-change/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-slope-as-rate-of-change","/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","quick-answer","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-derivative-function","/subjects/math/calculus/derivatives/derivative-function/","4","","","0.211","0.211","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-linear-relationships-slope-as-rate-of-change","/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","quick-answer","textbook-lesson.limits.calculus-limits-when-a-limit-does-not-exist","/subjects/math/calculus/limits-continuity/unit/limits/when-a-limit-does-not-exist/","4","","","0.211","0.211","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-polynomials-factoring","/subjects/math/algebra/polynomials-factoring/","quick-answer","textbook-lesson.limits.calculus-limits-factoring-limits","/subjects/math/calculus/limits-continuity/unit/limits/factoring-limits/","4","","","0.300","0.300","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-polynomials-factoring","/subjects/math/algebra/polynomials-factoring/","quick-answer","textbook-lesson.subjects-math-calculus-power-series-and-taylor-series-taylor-polynomials","/subjects/math/calculus/power-series-and-taylor-series/taylor-polynomials/","4","","","0.300","0.300","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-polynomials-factoring","/subjects/math/algebra/polynomials-factoring/","quick-answer","textbook-lesson.subjects-math-calculus-power-series-and-taylor-series-algebra-with-power-series","/subjects/math/calculus/power-series-and-taylor-series/algebra-with-power-series/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-completing-the-square","/subjects/math/algebra/polynomials-factoring/completing-the-square/","decision-guide","textbook-lesson.limits.calculus-limits-squeeze-theorem","/subjects/math/calculus/limits-continuity/unit/limits/squeeze-theorem/","4","","","0.300","0.300","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-completing-the-square","/subjects/math/algebra/polynomials-factoring/completing-the-square/","decision-guide","textbook-lesson.subjects-math-calculus-sequences-and-series-integral-test","/subjects/math/calculus/sequences-and-series/integral-test/","4","","","0.273","0.273","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-completing-the-square","/subjects/math/algebra/polynomials-factoring/completing-the-square/","decision-guide","textbook-lesson.calc-1-unit-2b-derivative-applications-first-derivative-test","/subjects/math/calculus/derivative-applications/first-derivative-test/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-exponent-rules","/subjects/math/algebra/polynomials-factoring/exponent-rules/","method-guide","textbook-lesson.subjects-math-calculus-integrals-basic-antiderivative-rules","/subjects/math/calculus/integrals/basic-antiderivative-rules/","4","","","0.214","0.214","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-exponent-rules","/subjects/math/algebra/polynomials-factoring/exponent-rules/","method-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-core-rules-concept-quiz","/subjects/math/calculus/derivatives/core-rules-concept-quiz/","4","","","0.200","0.200","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-exponent-rules","/subjects/math/algebra/polynomials-factoring/exponent-rules/","method-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-core-rules-review","/subjects/math/calculus/derivatives/core-rules-review/","4","","","0.200","0.200","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-factoring-trinomials","/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","decision-guide","textbook-lesson.limits.calculus-limits-limit-laws","/subjects/math/calculus/limits-continuity/unit/limits/limit-laws/","4","","","0.235","0.235","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-factoring-trinomials","/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","decision-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-combined-rules","/subjects/math/calculus/derivatives/combined-rules/","4","","","0.222","0.222","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-factoring-trinomials","/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","decision-guide","textbook-lesson.limits.calculus-continuity-continuity-review","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-review/","4","","","0.214","0.214","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-greatest-common-factor","/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","decision-guide","textbook-lesson.limits.calculus-limits-squeeze-theorem","/subjects/math/calculus/limits-continuity/unit/limits/squeeze-theorem/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-greatest-common-factor","/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","decision-guide","textbook-lesson.limits.calculus-limits-common-exam-errors","/subjects/math/calculus/limits-continuity/unit/limits/common-exam-errors/","4","","","0.231","0.231","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-greatest-common-factor","/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","decision-guide","textbook-lesson.subjects-math-calculus-sequences-and-series-integral-test","/subjects/math/calculus/sequences-and-series/integral-test/","4","","","0.231","0.231","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-multiply-polynomials","/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","decision-guide","textbook-lesson.limits.calculus-continuity-continuity-at-a-point","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-at-a-point/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-multiply-polynomials","/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","decision-guide","textbook-lesson.limits.calculus-limits-what-a-limit-means","/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/","4","","","0.231","0.231","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-multiply-polynomials","/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","decision-guide","textbook-lesson.subjects-math-calculus-power-series-and-taylor-series-taylor-polynomials","/subjects/math/calculus/power-series-and-taylor-series/taylor-polynomials/","4","","","0.231","0.231","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-special-factor-patterns","/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","textbook-lesson.limits.calculus-continuity-types-of-discontinuity","/subjects/math/calculus/limits-continuity/unit/continuity/types-of-discontinuity/","4","","","0.200","0.200","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-special-factor-patterns","/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","textbook-lesson.limits.calculus-limits-ratio-of-sines","/subjects/math/calculus/limits-continuity/unit/limits/ratio-of-sines/","4","","","0.176","0.176","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-polynomials-factoring-special-factor-patterns","/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","textbook-lesson.subjects-math-calculus-sequences-and-series-limits-of-sequences","/subjects/math/calculus/sequences-and-series/limits-of-sequences/","4","","","0.176","0.176","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-radicals-exponents-functions","/subjects/math/algebra/radicals-exponents-functions/","quick-answer","textbook-lesson.subjects-math-calculus-integrals-accumulation-functions","/subjects/math/calculus/integrals/accumulation-functions/","4","","","0.273","0.273","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-radicals-exponents-functions","/subjects/math/algebra/radicals-exponents-functions/","quick-answer","textbook-lesson.limits.calculus-continuity-continuous-functions","/subjects/math/calculus/limits-continuity/unit/continuity/continuous-functions/","4","","","0.273","0.273","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-radicals-exponents-functions","/subjects/math/algebra/radicals-exponents-functions/","quick-answer","textbook-lesson.limits.calculus-limits-ratio-of-sines","/subjects/math/calculus/limits-continuity/unit/limits/ratio-of-sines/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-radicals-exponents-functions-exponential-growth-and-decay","/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","decision-guide","textbook-lesson.calc-1-unit-2b-derivative-applications-derivative-graphs","/subjects/math/calculus/derivative-applications/derivative-graphs/","4","","","0.286","0.286","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-radicals-exponents-functions-exponential-growth-and-decay","/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","decision-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-exponential-e","/subjects/math/calculus/derivatives/exponential-e/","4","","","0.286","0.286","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-radicals-exponents-functions-exponential-growth-and-decay","/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","decision-guide","textbook-lesson.subjects-math-calculus-sequences-and-series-harmonic-and-p-series","/subjects/math/calculus/sequences-and-series/harmonic-and-p-series/","4","","","0.286","0.286","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-radicals-exponents-functions-function-notation","/subjects/math/algebra/radicals-exponents-functions/function-notation/","quick-answer","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-what-does-derivative-mean","/subjects/math/calculus/derivatives/what-does-derivative-mean/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-radicals-exponents-functions-function-notation","/subjects/math/algebra/radicals-exponents-functions/function-notation/","quick-answer","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-notation-and-units","/subjects/math/calculus/derivatives/notation-and-units/","4","","","0.235","0.235","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-radicals-exponents-functions-function-notation","/subjects/math/algebra/radicals-exponents-functions/function-notation/","quick-answer","textbook-lesson.calc-1-unit-2b-derivative-applications-derivative-graphs","/subjects/math/calculus/derivative-applications/derivative-graphs/","4","","","0.222","0.222","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
