route,inferred_parent,breadcrumb,classification
"/subjects/math/calculus/limits-continuity/unit/limits/finite-limit-decision-tree/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/finite-limits-concept-quiz/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/finite-limits-practice/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/finite-limits-review/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/formal-infinite-limits/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/function-value-vs-limit/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-behavior-concept-quiz/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-behavior-practice/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-behavior-review/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-limits/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/infinity-minus-infinity/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/limit-at-a-hole/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/limit-laws/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/limits-at-infinity/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/meaning-concept-quiz/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/meaning-practice/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/meaning-review/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/notation-guide/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/one-sided-limits/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-a/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-a/answer-key/","/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-a/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-b/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-b/answer-key/","/subjects/math/calculus/limits-continuity/unit/limits/practice-exam-b/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/prerequisite-diagnostic/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/radicals-at-infinity/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/ratio-of-sines/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/rationalizing-radicals/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/read-limits-from-graphs/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/scaled-sine-tangent/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/sin-x-over-x-proof/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/sin-x-over-x/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/slant-asymptotes/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/squeeze-theorem/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limit-decision-guide/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-concept-quiz/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-practice/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-review/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/unit-review/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/vertical-asymptotes/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/what-a-limit-means/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/when-a-limit-does-not-exist/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/why-limits-matter/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/limits/zero-over-zero/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/limits-continuity/unit/study/correct-practice-test/","/subjects/math/calculus/limits-continuity/unit/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/practice-exams/","/subjects/math/calculus/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/visuals/","/subjects/math/calculus/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/worked-problems/","/subjects/math/calculus/","Subjects","MANUAL_REVIEW"
"/subjects/math/calculus/worksheets/","/subjects/math/calculus/","Subjects","MANUAL_REVIEW"
