lessonId,lessonPath,category,decision,targetId,targetPath,relationshipType,placement,anchorText,approvalBasis,confidence,deferReason
textbook-lesson.math.algebra.a0-4,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-4,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-4,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-7,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-7,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-7,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-7,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-7,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-1,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-1,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-1,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-1,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-1,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-10,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-10,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-10,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-10,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-10,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-8,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-8,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-8,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-8,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-8,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-9,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-9,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-9,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-9,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-9,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-2,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-2,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-2,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-2,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-2,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-1,/subjects/math/algebra/exponential-logarithmic/additive-versus-multiplicative-patterns/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-1,/subjects/math/algebra/exponential-logarithmic/additive-versus-multiplicative-patterns/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-1,/subjects/math/algebra/exponential-logarithmic/additive-versus-multiplicative-patterns/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-1,/subjects/math/algebra/exponential-logarithmic/additive-versus-multiplicative-patterns/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-1,/subjects/math/algebra/exponential-logarithmic/additive-versus-multiplicative-patterns/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-6,/subjects/math/algebra/exponential-logarithmic/compound-interest/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-6,/subjects/math/algebra/exponential-logarithmic/compound-interest/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-6,/subjects/math/algebra/exponential-logarithmic/compound-interest/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-6,/subjects/math/algebra/exponential-logarithmic/compound-interest/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-6,/subjects/math/algebra/exponential-logarithmic/compound-interest/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-7,/subjects/math/algebra/exponential-logarithmic/continuous-growth-and-e/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-7,/subjects/math/algebra/exponential-logarithmic/continuous-growth-and-e/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-7,/subjects/math/algebra/exponential-logarithmic/continuous-growth-and-e/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-7,/subjects/math/algebra/exponential-logarithmic/continuous-growth-and-e/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-7,/subjects/math/algebra/exponential-logarithmic/continuous-growth-and-e/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-3,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-3,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-3,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-3,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-3,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-2,/subjects/math/algebra/exponential-logarithmic/geometric-sequences-and-repeated-percent-change/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-2,/subjects/math/algebra/exponential-logarithmic/geometric-sequences-and-repeated-percent-change/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-2,/subjects/math/algebra/exponential-logarithmic/geometric-sequences-and-repeated-percent-change/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-2,/subjects/math/algebra/exponential-logarithmic/geometric-sequences-and-repeated-percent-change/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-2,/subjects/math/algebra/exponential-logarithmic/geometric-sequences-and-repeated-percent-change/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-4,/subjects/math/algebra/exponential-logarithmic/graphs-and-transformations-of-exponentials/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-4,/subjects/math/algebra/exponential-logarithmic/graphs-and-transformations-of-exponentials/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-4,/subjects/math/algebra/exponential-logarithmic/graphs-and-transformations-of-exponentials/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-4,/subjects/math/algebra/exponential-logarithmic/graphs-and-transformations-of-exponentials/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-4,/subjects/math/algebra/exponential-logarithmic/graphs-and-transformations-of-exponentials/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-5,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-5,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-5,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-5,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-5,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-9,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-9,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-9,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-9,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-9,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-8,/subjects/math/algebra/exponential-logarithmic/logarithms-as-inverse-operations/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-8,/subjects/math/algebra/exponential-logarithmic/logarithms-as-inverse-operations/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-8,/subjects/math/algebra/exponential-logarithmic/logarithms-as-inverse-operations/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-8,/subjects/math/algebra/exponential-logarithmic/logarithms-as-inverse-operations/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-8,/subjects/math/algebra/exponential-logarithmic/logarithms-as-inverse-operations/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-10,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-10,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-10,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-10,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-10,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-11,/subjects/math/algebra/exponential-logarithmic/solving-logarithmic-equations-and-logarithmic-models/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-11,/subjects/math/algebra/exponential-logarithmic/solving-logarithmic-equations-and-logarithmic-models/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-11,/subjects/math/algebra/exponential-logarithmic/solving-logarithmic-equations-and-logarithmic-models/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-11,/subjects/math/algebra/exponential-logarithmic/solving-logarithmic-equations-and-logarithmic-models/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a13-11,/subjects/math/algebra/exponential-logarithmic/solving-logarithmic-equations-and-logarithmic-models/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-1,/subjects/math/algebra/exponents-roots/exponents-as-repeated-multiplication/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-1,/subjects/math/algebra/exponents-roots/exponents-as-repeated-multiplication/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-1,/subjects/math/algebra/exponents-roots/exponents-as-repeated-multiplication/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-1,/subjects/math/algebra/exponents-roots/exponents-as-repeated-multiplication/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-1,/subjects/math/algebra/exponents-roots/exponents-as-repeated-multiplication/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-2,/subjects/math/algebra/exponents-roots/negative-bases-and-grouping/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-2,/subjects/math/algebra/exponents-roots/negative-bases-and-grouping/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-2,/subjects/math/algebra/exponents-roots/negative-bases-and-grouping/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-2,/subjects/math/algebra/exponents-roots/negative-bases-and-grouping/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-2,/subjects/math/algebra/exponents-roots/negative-bases-and-grouping/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-9,/subjects/math/algebra/exponents-roots/power-function-preview/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-9,/subjects/math/algebra/exponents-roots/power-function-preview/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-9,/subjects/math/algebra/exponents-roots/power-function-preview/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-9,/subjects/math/algebra/exponents-roots/power-function-preview/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-9,/subjects/math/algebra/exponents-roots/power-function-preview/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-4,/subjects/math/algebra/exponents-roots/power-of-a-power-product-and-quotient/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-4,/subjects/math/algebra/exponents-roots/power-of-a-power-product-and-quotient/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-4,/subjects/math/algebra/exponents-roots/power-of-a-power-product-and-quotient/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-4,/subjects/math/algebra/exponents-roots/power-of-a-power-product-and-quotient/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-4,/subjects/math/algebra/exponents-roots/power-of-a-power-product-and-quotient/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-3,/subjects/math/algebra/exponents-roots/product-and-quotient-laws/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-3,/subjects/math/algebra/exponents-roots/product-and-quotient-laws/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-3,/subjects/math/algebra/exponents-roots/product-and-quotient-laws/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-3,/subjects/math/algebra/exponents-roots/product-and-quotient-laws/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-3,/subjects/math/algebra/exponents-roots/product-and-quotient-laws/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-6,/subjects/math/algebra/exponents-roots/scientific-notation/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-6,/subjects/math/algebra/exponents-roots/scientific-notation/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-6,/subjects/math/algebra/exponents-roots/scientific-notation/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-6,/subjects/math/algebra/exponents-roots/scientific-notation/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-6,/subjects/math/algebra/exponents-roots/scientific-notation/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-8,/subjects/math/algebra/exponents-roots/simple-power-and-root-equations/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-8,/subjects/math/algebra/exponents-roots/simple-power-and-root-equations/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-8,/subjects/math/algebra/exponents-roots/simple-power-and-root-equations/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-8,/subjects/math/algebra/exponents-roots/simple-power-and-root-equations/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-8,/subjects/math/algebra/exponents-roots/simple-power-and-root-equations/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-7,/subjects/math/algebra/exponents-roots/square-roots-and-nth-roots/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-7,/subjects/math/algebra/exponents-roots/square-roots-and-nth-roots/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-7,/subjects/math/algebra/exponents-roots/square-roots-and-nth-roots/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-7,/subjects/math/algebra/exponents-roots/square-roots-and-nth-roots/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-7,/subjects/math/algebra/exponents-roots/square-roots-and-nth-roots/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-5,/subjects/math/algebra/exponents-roots/zero-and-negative-exponents/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-5,/subjects/math/algebra/exponents-roots/zero-and-negative-exponents/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-5,/subjects/math/algebra/exponents-roots/zero-and-negative-exponents/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-5,/subjects/math/algebra/exponents-roots/zero-and-negative-exponents/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a6-5,/subjects/math/algebra/exponents-roots/zero-and-negative-exponents/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
