lesson_id,unit,exercise_set,purpose,recommended_count,canonical_lesson_path,answer_boundary,grading_policy
A0.3,A0,A0.3-P1,Prime factorization.,2-5,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.3,A0,A0.3-P2,GCF and LCM calculations.,2-5,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.3,A0,A0.3-P3,Choose GCF versus LCM from context.,2-5,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.3,A0,A0.3-P4,Connect common factors to fraction reduction.,2-5,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.3,A0,A0.3-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.4,A0,A0.4-P1,Locate and compare fractions.,2-5,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.4,A0,A0.4-P2,Generate equivalent fractions.,2-5,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.4,A0,A0.4-P3,Interpret a fraction of a quantity.,2-5,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.4,A0,A0.4-P4,Explain why the denominator cannot be zero.,2-5,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.4,A0,A0.4-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.5,A0,A0.5-P1,Compute products and quotients.,2-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.5,A0,A0.5-P2,Predict whether a result grows or shrinks.,2-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.5,A0,A0.5-P3,Explain reciprocal division.,2-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.5,A0,A0.5-P4,Recipe and measurement transfer problems.,2-5,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.5,A0,A0.5-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/multiplying-and-dividing-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.6,A0,A0.6-P1,Add and subtract like and unlike denominators.,2-5,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.6,A0,A0.6-P2,Handle signed fractions.,2-5,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.6,A0,A0.6-P3,Simplify complex fractions.,2-5,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.6,A0,A0.6-P4,Repair illegal numerator-and-denominator addition.,2-5,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.6,A0,A0.6-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.7,A0,A0.7-P1,Convert among forms.,2-5,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.7,A0,A0.7-P2,Order mixed forms.,2-5,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.7,A0,A0.7-P3,Find a percent of a quantity.,2-5,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.7,A0,A0.7-P4,Select the useful representation for a context.,2-5,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.7,A0,A0.7-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/fractions-decimals-and-percents/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.8,A0,A0.8-P1,Unit rates.,2-5,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.8,A0,A0.8-P2,Equivalent ratios and proportions.,2-5,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.8,A0,A0.8-P3,Percent increase/decrease.,2-5,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.8,A0,A0.8-P4,Explain why cross-products are equal in a true proportion.,2-5,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.8,A0,A0.8-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/ratios-rates-proportions-and-percent-change/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.9,A0,A0.9-P1,Single- and multi-stage conversions.,2-5,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.9,A0,A0.9-P2,Derived units.,2-5,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.9,A0,A0.9-P3,Choose formulas by dimensional consistency.,2-5,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.9,A0,A0.9-P4,Diagnose missing or incompatible units.,2-5,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.9,A0,A0.9-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/units-and-dimensional-reasoning/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.10,A0,A0.10-P1,Evaluate powers and roots.,2-5,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.10,A0,A0.10-P2,Convert scientific notation.,2-5,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.10,A0,A0.10-P3,Compare orders of magnitude.,2-5,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.10,A0,A0.10-P4,Distinguish -3^2 from (-3)^2.,2-5,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.10,A0,A0.10-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/powers-roots-and-scientific-notation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.1,A1,A1.1-P1,Name variables with units.,2-5,/subjects/math/algebra/quantities-variables/variables-and-changing-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.1,A1,A1.1-P2,Classify fixed and changing quantities.,2-5,/subjects/math/algebra/quantities-variables/variables-and-changing-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.1,A1,A1.1-P3,Build a table.,2-5,/subjects/math/algebra/quantities-variables/variables-and-changing-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.1,A1,A1.1-P4,Explain dependent and independent quantities informally.,2-5,/subjects/math/algebra/quantities-variables/variables-and-changing-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.1,A1,A1.1-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/quantities-variables/variables-and-changing-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.2,A1,A1.2-P1,Classify mixed objects.,2-5,/subjects/math/algebra/quantities-variables/expressions-equations-and-inequalities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.2,A1,A1.2-P2,Evaluate truth for candidate values.,2-5,/subjects/math/algebra/quantities-variables/expressions-equations-and-inequalities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.2,A1,A1.2-P3,Turn expressions into equations.,2-5,/subjects/math/algebra/quantities-variables/expressions-equations-and-inequalities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.2,A1,A1.2-P4,Identify malformed notation.,2-5,/subjects/math/algebra/quantities-variables/expressions-equations-and-inequalities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.2,A1,A1.2-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/quantities-variables/expressions-equations-and-inequalities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.3,A1,A1.3-P1,Identify terms and factors.,2-5,/subjects/math/algebra/quantities-variables/terms-factors-coefficients-and-structure/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.3,A1,A1.3-P2,Count operations at each level.,2-5,/subjects/math/algebra/quantities-variables/terms-factors-coefficients-and-structure/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.3,A1,A1.3-P3,Parse coefficients.,2-5,/subjects/math/algebra/quantities-variables/terms-factors-coefficients-and-structure/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.3,A1,A1.3-P4,Repair hidden-grouping errors.,2-5,/subjects/math/algebra/quantities-variables/terms-factors-coefficients-and-structure/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.3,A1,A1.3-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/quantities-variables/terms-factors-coefficients-and-structure/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.4,A1,A1.4-P1,Numerical substitution.,2-5,/subjects/math/algebra/quantities-variables/substitution-and-evaluation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.4,A1,A1.4-P2,Negative and fractional inputs.,2-5,/subjects/math/algebra/quantities-variables/substitution-and-evaluation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.4,A1,A1.4-P3,Substitute expressions for variables.,2-5,/subjects/math/algebra/quantities-variables/substitution-and-evaluation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.4,A1,A1.4-P4,Diagnose missing-parentheses errors.,2-5,/subjects/math/algebra/quantities-variables/substitution-and-evaluation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.4,A1,A1.4-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/quantities-variables/substitution-and-evaluation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.5,A1,A1.5-P1,Evaluate expressions.,2-5,/subjects/math/algebra/quantities-variables/grouping-and-order-of-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.5,A1,A1.5-P2,Insert grouping for a target value.,2-5,/subjects/math/algebra/quantities-variables/grouping-and-order-of-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.5,A1,A1.5-P3,Translate paper notation to typed syntax.,2-5,/subjects/math/algebra/quantities-variables/grouping-and-order-of-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.5,A1,A1.5-P4,Explain conflicting answers.,2-5,/subjects/math/algebra/quantities-variables/grouping-and-order-of-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.5,A1,A1.5-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/quantities-variables/grouping-and-order-of-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.6,A1,A1.6-P1,Name and use properties.,2-5,/subjects/math/algebra/quantities-variables/properties-of-real-number-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.6,A1,A1.6-P2,Decide which operations commute.,2-5,/subjects/math/algebra/quantities-variables/properties-of-real-number-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.6,A1,A1.6-P3,Expand and factor simple expressions.,2-5,/subjects/math/algebra/quantities-variables/properties-of-real-number-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.6,A1,A1.6-P4,Justify every step.,2-5,/subjects/math/algebra/quantities-variables/properties-of-real-number-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.6,A1,A1.6-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/quantities-variables/properties-of-real-number-operations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.7,A1,A1.7-P1,Combine like terms.,2-5,/subjects/math/algebra/quantities-variables/equivalent-expressions-and-like-terms/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.7,A1,A1.7-P2,Compare expressions.,2-5,/subjects/math/algebra/quantities-variables/equivalent-expressions-and-like-terms/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.7,A1,A1.7-P3,Produce counterexamples to false identities.,2-5,/subjects/math/algebra/quantities-variables/equivalent-expressions-and-like-terms/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.7,A1,A1.7-P4,Explain x+x=2x but x+x^2 does not combine.,2-5,/subjects/math/algebra/quantities-variables/equivalent-expressions-and-like-terms/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.7,A1,A1.7-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/quantities-variables/equivalent-expressions-and-like-terms/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.8,A1,A1.8-P1,Evaluate formulas.,2-5,/subjects/math/algebra/quantities-variables/formulas-units-and-mathematical-communication/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.8,A1,A1.8-P2,Write formulas from words.,2-5,/subjects/math/algebra/quantities-variables/formulas-units-and-mathematical-communication/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.8,A1,A1.8-P3,Interpret variables and units.,2-5,/subjects/math/algebra/quantities-variables/formulas-units-and-mathematical-communication/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.8,A1,A1.8-P4,Repair poor formatting and chained-equality errors.,2-5,/subjects/math/algebra/quantities-variables/formulas-units-and-mathematical-communication/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A1.8,A1,A1.8-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/quantities-variables/formulas-units-and-mathematical-communication/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.1,A2,A2.1-P1,Test candidates.,2-5,/subjects/math/algebra/linear-equations/solutions-solution-sets-and-checking/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.1,A2,A2.1-P2,List solution sets.,2-5,/subjects/math/algebra/linear-equations/solutions-solution-sets-and-checking/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.1,A2,A2.1-P3,Explain why the original equation is used for checking.,2-5,/subjects/math/algebra/linear-equations/solutions-solution-sets-and-checking/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.1,A2,A2.1-P4,Distinguish solve from simplify.,2-5,/subjects/math/algebra/linear-equations/solutions-solution-sets-and-checking/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.1,A2,A2.1-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/linear-equations/solutions-solution-sets-and-checking/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.2,A2,A2.2-P1,One-step equations.,2-5,/subjects/math/algebra/linear-equations/addition-and-subtraction-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.2,A2,A2.2-P2,Signed values.,2-5,/subjects/math/algebra/linear-equations/addition-and-subtraction-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.2,A2,A2.2-P3,Write inverse operations.,2-5,/subjects/math/algebra/linear-equations/addition-and-subtraction-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.2,A2,A2.2-P4,Model net-change contexts.,2-5,/subjects/math/algebra/linear-equations/addition-and-subtraction-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.2,A2,A2.2-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/linear-equations/addition-and-subtraction-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.3,A2,A2.3-P1,Solve ax=b and x/a=b.,2-5,/subjects/math/algebra/linear-equations/multiplication-and-division-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.3,A2,A2.3-P2,Fractional coefficients.,2-5,/subjects/math/algebra/linear-equations/multiplication-and-division-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.3,A2,A2.3-P3,Interpret units.,2-5,/subjects/math/algebra/linear-equations/multiplication-and-division-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.3,A2,A2.3-P4,Explain zero restrictions.,2-5,/subjects/math/algebra/linear-equations/multiplication-and-division-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A2.3,A2,A2.3-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/linear-equations/multiplication-and-division-equations/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
